unique_id,article_title,article_type,publication_date,publication_text
LTN19711014-01.2.19,Homecoming planners pick Hollywood theme ,ARTICLE,14 October 1971,"<p dir=""auto"">Homecoming planners pick Hollywood theme</p><p dir=""auto"">By DianneDesich Plans are in full swing for the world premiere of ""Hollywood and High"" — a 1971 Homecoming spectacular . This year ' s Homecoming will feature flicks and a Jethro Tull concert . Emphasis has been placed on planning a weekend that will be entertaining and enjoyable for a large number of students , according to</p><p dir=""auto"">Pam Segnst , a senior from Swanton and Homecoming general chairman . Activities will begin with the Homecoming parade , at 6 p . m . Friday , Oct . 22 , in which floats made by various campus organizations , living units and honoraries will compete . Anyone wishing to enter a float in the competition can pick up an application in room 445 of the Ohio Union . Judging will take place before the parade , with winners being chosen in three categories : best use of theme , best of parade and most original . Winners will be announced during pre-game activities Saturday and trophies will be donated by Lowe ' s Theater . Also featured will be five finalists in the Homecoming Queen contest . Students to choose This year , to equalize the on and off campus representation , students will vote for one of 10 finalists ( five from on campus and five from off campus ) on Wednesday . The top five will appear as a court in the parade</p><p dir=""auto"">and the winner will be announced Saturday before the game . A rally for the football match against Wisconsin will form behind the parade along the route . The parade will travel east on Woodruff to High Street , south on High to 12 th Avenue , west on 12 th to South College , where it and the rally will separate . The rally will proceed west on 12 th to Neil Avenue , then on to the stadium . Saturday , Oct . 23 , of course , is the * big game . At 8 p . m . Saturday , the really big show will be at St . John Arena when the Ohio Staters present Jethro Tull in concert . Tickets for this event are available at the Agora Ticket Office . Although there will be no formal Homecoming dance this year , Homecoming weekend is striving for an E-E rating — Entertainment for Everyone , Segristsaid .</p>"
LTN19700311-01.2.65,Mobile Float Parade Planned ,ARTICLE,11 March 1970,"<p dir=""auto"">Mobile Float Parade Planned</p><p dir=""auto"">Not since Maudine Ormsby , a University dairy cow , was elected Ohio State's 1926 Homecoming queen and was pulled around campus on a cart has the University had a Homecoming parade with mobile floats . Homecoming 1970 will be an exception . In recognition of Ohio State ' s 100 th anniversary , Traditions Board and the Student Centennial Committee are organizing the University ' s first multi-float Homecoming parade , a project requiring a great deal more planning than did the spontaneous ""one-float victory parade"" in 1926 . The parade , scheduled to precede the Oct . 17 football game with Minnesota , will replace the traditional Homecoming . decoration of living units .</p><p dir=""auto"">""We ' ve had no adverse reaction from the Greeks , as far as I know , "" said Deborah Craft , float committee chairman for the centennial committee and a member of Traditions Board . ""I would guess the parade would be welcomed with open arms since it will involve less expense than stable floats . "" She said last year Greeks spent as much as S 1 , 000 per house for Homecoming decorations . The centennial committee estimates mobile float expenses will be no more than $ 200 per float , she said . The centennial committee hopes as many as 80 to 100 units will participate in the parade , according to Lawrence Nuber , special arrangements chairman for the centennial committee . At least 50 per cent of . the units will be floats , he said . The</p><p dir=""auto"">remainder will include VIP cars , bands and special units such as antique cars . ""Everything so far is very tentative , "" Nuber said . ""It ' s difficult to plan specifics so far in advance . "" He said the centennial committee is striving for a workable method ol co-sponsoring floats between local merchants and University living units . Still Many Problems Many problems such as where the floats can be built , the route the parade will take , where equipment can be obtained and limitations on width , height and cost of floats hopefully will be worked out in the next few weeks , Nuber said . The centennial committee is ill j . the process of obtaining permission to construct the floats in and underneath the stadium .</p><p dir=""auto"">A tentative parade route has been mapped out , but this awaits approval by Columbus Safety Director James J . Hughes Jr ., Nuber said . Parade Route Set According to committee plans , the parade will move out of the stadium , south on Neil Avenue to 11 th Avenue , east on 11 th to N . High Street , past an Ohio Union reviewing stand where a judging panel and television cameras will be situated , north on High to 15 th Avenue , west on 15 th , and then around the Oval , where the floats will be on display throughout the weekend . Nuber said he anticipates no problems in blocking off traffic on the Oval since ""it is always I blocked off on football Saturdays anyway . "" The main question involves closing High Street , he said .</p>"
LTN19711021-01.2.5,"Homecoming fete : 21 floats , 4 rallies ",ARTICLE,21 October 1971,"<p dir=""auto"">Homecoming fete : 21 floats , 4 rallies</p><p dir=""auto"">By Barbara Levin Miss Universe , four rallies , 21 floats , a bonfire , and several movies will be some of the highlights of the 1971 Homecoming festivities this weekend . The current Miss Universe , Georgina Rizk of jirut , Lebanon , will be present at Saturday ' s pre-game crowning of the Homecoming Queen . She is in Columbus as part of a promotional tour for a local department store , according to Sam Byers , a senior from Cincinnati and a member of Student Events Board . Jeanne Ramer , last year ' s Homecoming queen , will crown the new homecoming queen with a $ 100 , 000 diamond tiara . A 21-float parade , representing dormitories , sororities , fraternities , and campus honoraries , will start Friday night ' s activities , according to Pam Segrist , a senior from Swanton and Homecoming chairman . The parade , which begins at 6 p . m ., will travel east on Woodruff to High Street , south on High to 12 th Avenue , and west on 12 th to South College Drive . High Street will be blocked off from Woodruff Avenue to 12 th Avenue . After the parade , the floats will be returned to the various living units , where they will be on display . Four individual rallies , one from each of the three residence areas and one from the greek district , will form behind the parade . The West Campus rally will begin in front of the towers at 5 : 15 p . m . ; the North Campus rally in front of Scott House at 5 : 30 p . m . ; the greek rally in front of the Kappa Sigma house at 5 : 30 p . m . ; and the South Campus rally in front of East Baker Hall at 6 p . m . The rallies will separate from the parade at 12 th Avenue and South College Drive . The rally will precede to the east side of the stadium for a bonfire featuring the marching band , Woody Hayes , and the football team . At 8 : 15 p . m . a snake dance from the rally to the Ohio Union will lead to ""Friday Night at the Movies . '' Fpur full-length movies will be shown in the Union . Homecoming festivities will conclude with the Jethro Tull concert at St . John Arena , 8 p . m . Saturday . Tickets are still on sale at the Agora ticket office .</p>"
LTN19711026-01.2.19,". . . festive rallies , floats , parades ",ILLUSTRATION,26 October 1971,"<p dir=""auto"">. . . festive rallies , floats , parades</p><p dir=""auto"">By Michael Needs Friday night's parade and rally activities kicked off the Homecoming weekend with enthusiasm despite the rain and cold weather . A mass of spectators lined Woodruff Avenue and High Street to watch the 16 colorful and unusual floats in the Homecoming parade . About 1 , 000 people gathered at 15 th Avenue and High Streets and altogether several thousand watched the parade . The parade ' s theme was ""Hollywood and High"" and the floats characterized famous movies . Slogans ranged from ""Godzilla meets the Badger"" and ""There ' s a Badger in my Soup"" to ""Ben Hayes . "" Three of the floats and their de</p><p dir=""auto"">signers received awards for their achievements . Drackett Tower ' s entry received the trophy for ""Best in Parade . "" With the theme from ""Patton"" playing in the background , a movable Buckeye tank shot miniature footballs at a Badger hanging from a goalpost . The ""Most Original"" trophy went to the ""Yellow Submarine"" float from Smith , Canfield and Morrison . A giant carnation peacock from Zeta Tau Alpha and Theta Tau won the ""Best Use of Theme"" trophy . President Fawcett looked over every float before the parade began and said , ""I'm glad to see all these people having fun . "" He was Grand Marshall for the parade and rode in the lead car . As the parade ended in front of the Ohio Union , the band led a growing number of students through campus and to the stadium in preparation for the bonfire and rally . With flames from the bonfire leaping 30 feet in the air , about 3 , 000 students stood in the rain and heard football coach Woody Hayes introduce the starting players and talk about past Wisconsin games .</p><p dir=""auto"">Bob Little photo</p>"
LTN19701016-01.2.6.1,Page 1 Advertisements Column 1,ADVERTISEMENT,16 October 1970,"<p dir=""auto"">^ oday</p><p dir=""auto"">osu</p><p dir=""auto"">• The annual Homecoming rally will be held at 6 : 45 p . m . today next to Ohio Stadium . The Homecoming dance will begin at 9 p . m . and run until 1 a . m . The Homecoming parade will form Saturday morning at 8 : 30 on East 12 th Avenue and proceed along High Street to Woodruff Avenue to Neil Avenue to South Oval Drive . inside ... • Black Homecoming events set for this weekend . Page 3 . • Officials lacking honesty in informing potential employes of hiring policies . Opinion . Page 4 . • Carmen Ohio is not an opera about a Spanish chick living in Columbus . Find out what it is . Life style . Page 11 . • The bigger the Reds' fan , the harder the fall . Sports . Page 14 . outside ... Cloudy and cool , high near 50 today but cocoa and the Bucks will keep you warm on Saturday . ( If there ' s something special in the cocoa . )</p><p dir=""auto"">All I know is what I see in the papers</p><p dir=""auto"">Will Rogers</p><p dir=""auto"">"" . "" V — )</p>"
LTN19701015-01.2.6,24 mobile floats parade on High ,ARTICLE,15 October 1970,"<p dir=""auto"">24 mobile floats parade on High</p><p dir=""auto"">This year ' s Homecoming floats are ""hitting the road"" —they will parade up High Street Saturday morning . The new mobility for the 24 floats was the idea of the Centennial Students' Steering Committee , who ""wanted to do something different this year because of it being Centennial year , "" according to committee chairman Eric Grulke . Grulke , a senior from Berea , said the committee decided to have the mobile floats instead of the ""traditional stationary floats built in front of dorms and fraternity houses . "" The general theme of homecoming , ""Dawning of the Age , "" will be illustrated by floats with a social comment , according to Grulke . Of the 24 floats , Grulke said , "" some will be the typical 'Rah ! Rah ! ' floats , but most will be pertaining to social conditions . "" ""With one exception , the floats are all sponsored by organizations , such</p><p dir=""auto"">as fraternities and dormitories . The exception is a United Appeal float being built by Greeks who belong to houses that aren't themselves building a float , "" Grulke said . Donations for this float will pay for its construction . Any extra money , according to Grulke , will be given to the charity . Reed Varian , a senior from East Canton , "" came up with the idea for a United Appeal float and has done a great deal of work on it , "" Grulke said . This year ' s floats will cost less to build than in the past , according to Grulke , ""in recent years , some groups have spent over $ 1 , 000 to construct a float . This year the floats will only cost $ 200- $ 300 to build , because they ' re small . "" He added , ""the movable floats have to be small because of the traffic lights , trees and other obstacles that cross the parade route . "" The parade will form on East 12 th .</p><p dir=""auto"">at 8 : 30 Saturday morning for a fire inspection , according to Gurlke . ""We plan to start moving north on High Street at 9 : 15 , passing the Ohio Union where three or four faculty members will judge the floats , "" he added . Chairman of the parade committee , Bruno Sestito , a junior from Columbus , said the floats will move up High Street to Woodruff Avenue and will then turn left on Neil Ave . ""They will then move down Neil to South Oval Drive , where they will park during the football game , "" Sestito said . Prizes for the best floats won't be trophies as in the past , Grulke said . ""A group shows off its trophy for awhile and then puts it in a case , where it is usually forgotten . This year the organization with the best float will receive a scholarship , which should be worth about $ 100 , "" he said .</p>"
LTN19701019-01.2.43,UNKNOWN,ARTICLE,19 October 1970,"<p dir=""auto"">( Lantern photo by Pam Spaulding ) FINISHING TOUCHES—Barbie Waters from St . Clairsville puts finishing touches on the Delta Tau Delta float before the Homecoming Parade Saturday morning .</p>"
LTN19701015-01.2.72,Homecoming rally Friday ,ARTICLE,15 October 1970,"<p dir=""auto"">Homecoming rally Friday</p><p dir=""auto"">""We ' re off and running"" is the theme for the homecoming rally beginning at 6 : 45 Friday evening . Eighteen student groups will vie for the titles of most enthusiastic and creative . Meeting places for the rally are at Indianola and 15 th Avenue and Iuka at 16 th Avenue . The first route will follow 15 th down to South College , then west on 12 th Avenue to Neil Avenue . The second</p><p dir=""auto"">group will follow Iuka to Woodruff Avenue where the parade will turn north onto Curl Drive then south on Neil Avenue . The two groups will converge at Neil and 17 th Avenues and continue to the rally site on the east side of the Stadium . Students will be met at the Stadium by Coach Woody Hayes who will introduce the Buckeyes .</p>"
LTN19711021-01.2.59.1,Page 11 Advertisements Column 1,ADVERTISEMENT,21 October 1971,"<p dir=""auto"">' Wollensak ^ orthlaiid ^ ** f * ! \ 3 "" * Models Open APARTMENTS and TOWNHOUSES Daily-10-7 1609 Shanley Drive Sat . —10-6 Phone : 267-8359 Sun .-l-6 INCLUDES ALL UTILITIES RATES UNFURNISHED RATES FURNISHED 1—Bedroom— $ 150 . 00 per mo . 1—Bedroom— $ 185 . 00 per mo . Directions : Directly south of 2-People $ 75 . 00 ea . 2-People $ 92 . 50 ea . Northland Shopping Center , 2—Bedroom— $ 170 . 00 per mo . 2—Bedroom— $ 213 . 00 per mo . south on Karl Rd ., east on 3-People $ 56 . 67 ea . 3-People $ 71 . 00 ea . Shanley Drive . 3—Bedroom— $ 197 . 00 per mo . 3—Bedroom— $ 248 . 00 per mo . 4-People $ 49 . 25 ea . 4-People $ 62 . 00 ea .</p><p dir=""auto"">PROFESSIONAL CATERING Whatever the Occasion ... * COL SANDERS - ^^ JMdcij fried tfkfctoi U ^ l lHlBb CATERING W *^~ SERVICE F * ""TAILORED"" CATERING FOR YOUR OCCASION AND BUDGET • PICNICS • MEETINGS • PARTIES • CHUKCH • BANQUETS * cu "" &gt; • WEDDING RECEPTIONS "" ^'"" C , * 1 • SCHOOL BANQUETS . SERVICE • CONVENTIONS • SAIES WE CAN ACCOMMODATE ANY SIZE GROUP 25-10 , 000 I CATERING SERVICE CALL , 846-2388 | 5174 SINCLAIR RD . ¦</p><p dir=""auto"">LANTERN ADVERTISING CAN BE READ BY OVER 50 , 000 READERS DAILY</p><p dir=""auto"">m ^^^^^^^^ JL 3 m — AI Includes : 0 * _ _^^^^^ M Batteries H iMt ^ kWtimm Audio Cable I frHflf ^ n Earph one Rfl |^ M AC power cord Telephone p ickup W ^^^^ ^ J Remote control mic . I ^^^ I "" * Carrying case ^ L . ^ 0 *^^^^ irCOOC C-60 cassette mm Model 4400 K ^ DV . TJ University Audio 1604 N . High St . 294-6401</p><p dir=""auto"">SKY DIVING ^ ^ fl ^ ^ THE OHIO STATE Jk ^^^** "" UNIVERSITY ^ 1 ^ SPORT PARACHUTE CLUB Meeting TONITE Thursday , Oct . 21 1 ^ 7 : 00-8 : 30 p . m . , ¦ '¦;» * : . Ohio Union Anyone Interested Room A Is Welcome ' •""</p><p dir=""auto"">""HoifrjuuMid &amp; Higk "" HOMECOMING 1971 SPONSORED BY STUDENT EVENT BOARD FRIDAY OCTOBER 22 PARADE - ""FRIDAY NIGHT AT THE MOVIES "" 2 : 00 p . m . Judging of Floats 6 : 00 p . m . Parade Begins - St . John Arena up to Woodruff Ave . to High Street over to 12 th Ave . RALLY-FORMS BEHIND MARCHING BAND AT END OF PARADE 7 : 15 p . m . ""Woody and Players"" Bonfire on East Side of Stadium 8 : 30 p . m . ""Snake Dance"" to Ohio Union MOVIES-OHIO UNION 7 and 9 : 30 p . m .- ""Bonnie and Clyde"" in West Ballroom 9 : 00 p . m . ""A Man for All Seasons"" in Conference Theatre 8 to 11 p . m . Silent Flicks and Old Time Features in Ohio Union Tavern Midnight Edgar Allen Poe ' s ""Tomb of Lygiea"" in West Ballroom SATURDAY OCTOBER 23 1 : 30 p . m . OSU vs . Wisconsin - Ohio Stadium 1971 Homecoming Queen Crowned During Pre-Game Activities 8 : 00 p . m . Ohio Staters Concert - Jethro Tull in St . John Arena Compliments of the Ohio State University Association</p>"
LTN19701019-01.2.12,Time and change mark festivities ,ARTICLE,19 October 1970,"<p dir=""auto"">Time and change mark festivities</p><p dir=""auto"">By ANN SHELDON Lantern Staff Wriler The Age of Homecoming dawned this past weekend , and thousands of Ohio State and alumni were on hand for the festivities . The activities began with Friday night's traditional pep rally and bonfire on the east side of Ohio stadium . Led by the Ohio State Marching Band , cheering and singing students paraded around campus from 15 th and Iuka Avenues to Stadium carrying signs and shaking noise</p><p dir=""auto"">makers . Most spirited delegations Delta Gamma sorority , DavissonHanley Scholarship House , and Patterson and Smith Halls were judged to have the most spirited delegations in the rally march . At the stadium , more than 2 , 000 people gathered to watch the bonfire and listen to coach Woody Hayes introduce the team . Later that evening a more subdued crowed of about 700 danced under ""The Lights of Libra"" at the homecoming dance in the Ohio Union .</p><p dir=""auto"">Miss Jeanne Ramer , a sophomore from Piqua , was named 1971 Homecoming Queen . Wearing long formals and carrying long-stemmed red roses , Miss Ramer , her first alternate , Miss Chris Vogel , and her court , Misses Claudia Balliett , Cheryl O'Leary , and Connie Workman , were escorted to the stage of the ballroom at 10 p . m . There they were introduced and greeted by President Fawcett . . Saturday morning about 500 people were on High Street to watch the</p><p dir=""auto"">parade of homecoming floats . Dawning of Age theme In keeping with the theme ""Dawning of the Age , "" many floats depicted prehistoric man while other concentrated on man of the future . Other floats dealt with football and historic landmarks around campus . During the game the floats were parked around the oval . Homecoming activities drew to a close with the football game and the Dionne Warwick concert Saturday night .</p>"
