,doi
0,
1,10.3390/plants13212970
2,10.1073/pnas.2422178121
3,10.1021/acs.jctc.4c01085
4,10.1021/jacs.4c06774
5,10.1021/jacs.4c07388
6,10.1557/s43577-024-00721-w
7,10.1109/icdcs60910.2024.00051
8,10.1109/jerm.2024.3426270
9,10.1016/j.bpj.2025.01.025
10,10.1016/j.scriptamat.2024.116312
11,10.1103/physrevb.108.l201104
12,10.1145/3636534.3698848
13,10.1145/3643832.3661861
14,10.1093/mnras/stae2449
15,10.1093/mnras/stae1121
16,10.3847/1538-4357/acfdac
17,10.3847/1538-4357/adad6e
18,10.3847/1538-4357/ad4493
19,10.3847/1538-4357/ad5a0b
20,10.1093/mnras/stae589
21,10.1093/mnras/stae1726
22,10.1145/3626203.3670538
23,10.3390/electronics14030432
24,10.1016/j.jcp.2023.112429
25,10.1016/j.jcp.2024.113654
26,10.1090/mcom/3927
27,10.1137/23m1582990
28,10.3847/1538-4357/ad6313
29,10.1109/jsac.2024.3459034
30,10.1007/s10231-024-01531-2
31,10.1007/s00220-024-05166-5
32,10.1039/d3cc05485c
33,10.1039/d3sc05627a
34,10.1002/anie.202420574
35,10.1103/physrevd.109.092006
36,10.1103/physrevd.109.103003
37,10.1016/j.sbi.2024.102921
38,10.1021/jacs.3c10340
39,10.1039/d4cp03593c
40,10.1039/d3sc05369e
41,10.1145/3576915.3616676
42,10.1145/3576915.3616591
43,10.1145/3576915.3624023
44,10.1145/3634737.3645001
45,10.1021/jacs.3c05155
46,10.1021/jacs.4c01668
47,10.1021/jacs.3c08510
48,10.1021/acsestwater.4c00787
49,10.1177/10711813241276478
50,10.1039/d4fd00070f
51,10.1177/20416695241279929
52,10.1016/j.ifacol.2024.08.379
53,10.1016/j.cogsc.2024.100983
54,10.1016/j.conengprac.2024.106118
55,10.1021/acs.iecr.4c03503
56,10.1016/j.compchemeng.2024.108859
57,10.1016/j.ifacol.2023.10.1639
58,10.1016/b978-0-443-28824-1.50564-0
59,10.1016/j.compchemeng.2023.108515
60,10.1016/j.dche.2024.100198
61,10.1016/j.molp.2023.08.010
62,10.1007/s41871-023-00208-3
63,10.1039/d4ay00082j
64,10.1145/3634737.3637670
65,10.1109/tnet.2023.3243070
66,10.1109/tmc.2023.3276930
67,10.1109/tnet.2023.3286880
68,10.1109/msp.2024.3472496
69,10.1109/plans53410.2023.10140087
70,10.1109/taes.2024.3418943
71,10.1109/plans53410.2023.10140134
72,10.1109/tits.2024.3405908
73,10.1109/taes.2023.3234523
74,10.1103/physrevphyseducres.20.020129
75,10.1103/physrevphyseducres.19.020145
76,10.1103/physrevphyseducres.19.010127
77,10.1103/physrevphyseducres.19.020124
78,10.1016/j.cirp.2024.03.013
79,10.1002/anie.202310245
80,10.1002/ange.202406867
81,10.1039/d3nr05456j
82,10.1021/acsmaterialsau.4c00106
83,10.1021/acsnano.2c08511
84,10.1021/acs.jchemed.3c00379
85,10.1039/d4ma00024b
86,10.1039/d2cc06696c
87,10.1038/s43247-024-01724-w
88,10.1021/acs.nanolett.3c00959
89,10.1007/s00220-024-04985-w
90,10.1103/physrevc.109.014319
91,10.1103/physrevc.109.044612
92,10.1103/revmodphys.96.031002
93,10.1021/acsami.4c13458
94,10.1007/s10845-023-02291-1
95,10.1177/21695067231192576
96,10.3390/app14093917
97,10.1021/acsami.3c09793
98,10.1088/1758-5090/ad30c8
99,10.1177/10711813241275942
100,10.1016/j.cirp.2024.03.004
