,title,author,degree,degre_year,advisors,committee_members,subjects
0,Reading Landscapes in Medieval British Romance,"Richmond, Andrew",Doctor of Philosophy,2015,Kiser,Lisa J. Kiser ; Ethan Knapp ; Richard Firth Green ; Karen Winstead ,British and Irish Literature; Environmental Studies; Literature; Medieval Literature; Middle Ages
1,Linguam ad Loquendum: Writing a Vernacular Identity in Medieval and Early Modern England,"Wagner, Erin",Doctor of Philosophy,2015,Richard Green,Richard Green ; Karen Winstead ; Ethan Knapp ; Hannibal Hamlin ,Medieval Literature
2,"Property, Mobility, and Epistemology in U.S. Women of Color Detective Fiction","Istomina, Julia",Doctor of Philosophy,2015,Lynn Itagaki;Theresa Delgadillo,Linda Mizejewski ; Lynn Itagaki ; Theresa Delgadillo ,African American Studies; American History; American Literature; American Studies; Asian American Studies; Black Studies; Caribbean Literature; Caribbean Studies; Comparative Literature; Epistemology; Ethnic Studies; Gender Studies; Glbt Studies; Hispanic American Studies; Latin American History; Latin American Literature; Latin American Studies; Native American Studies; Performing Arts; Womens Studies
3,A Regional Rhetoric for Advocacy in Appalachia,"Bryson, Krista",Doctor of Philosophy,2015,,Beverly Moss J. ; Nancy Johnson ; Amy Shuman ,Folklore; Literacy; Rhetoric
4,"Formal Education: Early Children's Genres, Gender, and the Realist Novel","Hill, Cecily",Doctor of Philosophy,2015,Robyn Warhol,Robyn Warhol ; Jill Galvin ; Sandra Macpherson ; Simmons Clare ,British and Irish Literature; Early Childhood Education; Gender; Gender Studies; Literature; Womens Studies
5,Developing a Digital Paideia: Composing Identities and Engaging Rhetorically in the Digital Age,"DeLuca, Katherine",Doctor of Philosophy,2015,Cynthia Selfe,Cynthia Selfe ,Composition; Rhetoric; Teaching; Web Studies
6,"Queering Composition, Queering Archives: Personal Narratives and the Digital Archive of Literacy Narratives","Kuzawa, Deborah",Doctor of Philosophy,2015,,Cynthia L. Selfe Ph.D ; Scott L. DeWitt D.A. ; Beverly J. Moss Ph.D. ,Composition; Higher Education; Literacy; Pedagogy; Rhetoric; Teaching
7,Global Ambiguity in Early American Gothic: A Cultural Rhetorical Analysis,"Li, Wanlin",Doctor of Philosophy,2015,James Phelan,James Phelan ; Steven Fink ; Clare Simmons ,American Literature
8,"“People Like Us”: Recognition, Identification, and the Production of Rhetorical Subjects in Enrollment Outreach","Bollig, Chase",Doctor of Philosophy,2015,,Beverly Moss ; Wendy Hesford ; Jonathan Buehl ,Composition; Rhetoric
9,Reclaiming Aesthetics in Twentieth- and Twenty-First-Century Fiction,"Wang, Wanzheng Michelle",Doctor of Philosophy,2015,Brian McHale,Brian McHale ; David Herman ; James Phelan ,Aesthetics; American Literature; British and Irish Literature; Ethics; Literature
10,"Reflections from Elsewhere: Ambivalence, Recuperation, and Empathy in Moral Geographies of Appalachian Ohio
","Patterson, Cassie",Doctor of Philosophy,2015,Amy Shuman,Amy Shuman ; Dorothy Noyes ; Katherine Borland ,Education; Folklore; Higher Education
11,Comparisons Are Odorous: The Early Modern English Olfactory and Literary Imagination,"Kennedy, Colleen",Doctor of Philosophy,2015,Christopher Highley,Christopher Highley ; Hannibal Hamlin ; Richard Dutton ,British and Irish Literature
12,"Rehabilitation, Eugenics, and Institutionalization Discourses: Disability in American Literature, 1893-1941","Johnson , Kristen ",Doctor of Philosophy,2015,,Debra Moddelmog Dr. ,American Literature
13,"But Wait, There's More: Serial Character and Adaptive Reading Practices in the Victorian Period","Haugtvedt, Erica",Doctor of Philosophy,2015,,Sean O'Sullivan ; Robyn Warhol ; Amanpal Garcha ; Jill Galvan ,American Literature; British and Irish Literature; Literacy; Literature; Mass Media
14,"Past and Future States: The Cultural Work of the Serial in U.S. Literature, 1786-1815","Garvin, Kristina",Doctor of Philosophy,2015,Elizabeth Hewitt,Elizabeth Hewitt ; Jared Gardner ; Molly Farrell ,Literature
15,"Manifold Imaginaries: Latino Intermedial Narratives in the Twenty-first Century
","Rojas, Theresa",Doctor of Philosophy,2015,Luis Aldama PhD,Frederick Luis Aldama PhD ; David Herman PhD ; Jared Gardner PhD ; Robyn Warhol PhD ,American Literature; Comparative; Ethnic Studies; Gender Studies; Latin American Studies; Literature
16,Paternal Legacy in Early English Texts,"Shaull, Erin",Doctor of Philosophy,2015,Christopher Jones PhD,Christopher Jones PhD ; Leslie Lockett PhD ; Karen Winstead PhD ,Literature; Medieval Literature; Middle Ages
17,"Broadcasting Friendship: Decolonization, Literature, and the BBC","Cyzewski, Julie",Doctor of Philosophy,2016,,Pranav Jani Dr. ; Thomas Davis Dr.  ; Adeleke Adeeko Dr.  ; Peter Kalliney Dr.  ,African Literature; Asian Literature; British and Irish Literature; Caribbean Literature; Mass Media
18,“Ymaried moore for hir goodes”: The Economics of Marriage in Middle English Poetry,"Sweeten, David",Doctor of Philosophy,2016,,Ethan Knapp ; Richard Green ; Karen Winstead ,Economic Theory; Literature; Medieval Literature
19,"Touching History to Find “a Kind of Truth”: 
Black Women's Queer Desires in Post-Civil Rights Literature, Film, and Music
","Shaw, John",Doctor of Philosophy,2016,Joseph Ponce PhD,Martin Joseph Ponce PhD ,African American Studies; Film Studies; Literature; Womens Studies
20,"Affect, Embodiment, and Ethics in Narratives of Sexual Abuse","Martin, Lindsay",Doctor of Philosophy,2016,James Phelan,James Phelan ; Robyn Warhol ; Brian McHale ,American Literature; Literature
21,"A Tempestuous Romance: Chivalry, Literature, and Anglo-Spanish Politics, 1578-1624","Munoz, Victoria",Doctor of Philosophy,2016,,Jennifer Higginbotham PhD ; Luke Wilson PhD ; Chris Highley PhD ; Ellizabeth Davis PhD ,Comparative Literature; European History; History; Language; Literature; Religion; Religious History
22,"“I Would Prevent You from Further Violence”: Women, Pirates, and the Problem of Violence in the Antebellum American Imagination","Avila, Beth",Doctor of Philosophy,2016,Sara Crosby,Sara Crosby ; Andrea Williams ; Susan Williams ,American History; American Literature; American Studies; British and Irish Literature; Gender; Literature; Womens Studies
23,On the Surface of Shakespeare's Characters,"Holmes, Jonathan",Doctor of Philosophy,2016,,Luke Wilson ; Jennifer Higginbotham ; Richard Dutton ,Literature
24,"Moving from ""Community as Teaching"" to ""Community as Learning"":  A New Framework for Community in Higher Education and Writing Studies","Clinnin, Kaitlin",Doctor of Philosophy,2017,,Kay Halasek ; Scott DeWitt ; Beverly Moss ; Cynthia L. Selfe ,Composition; Higher Education; Rhetoric
25,Unbecoming Adults: Adolescence and the Technologies of Difference in Post-1960 US Ethnic Literature and Culture,"Harris, James",Doctor of Philosophy,2017,,Martin Joseph Ponce Dr. ; Lynn Mie Itagaki Dr. ; Jian Chen Dr. ,American Literature; Ethnic Studies; Modern Literature
26,Fortune's Friends: Forms and Figures of Friendship in the Chaucer Tradition,"Neel, Travis",Doctor of Philosophy,2017,,Ethan Knapp Dr. ; Richard Firth Green Dr. ; Karen Winstead Dr. ,Literature; Medieval Literature
27,Ovid's Wand: the brush of history and the mirror of ekphrasis,"Hardaway, Reid",Doctor of Philosophy,2017,Ethan Knapp,Ethan Knapp ,Literature
28,"Decolonizing Forms:
Linguistic Practice, Experimentation, and U.S. Empire in Asian American and Pacific Islander Literature
","Salter, Tiffany",Doctor of Philosophy,2017,Martin Ponce,Martin Ponce ,American History; American Literature; American Studies; Asian American Studies; Bilingual Education; Comparative Literature; Ethnic Studies; History of Oceania; Literature; Literature of Oceania; Pacific Rim Studies
29,Looking Beyond One-to-One Tutoring: Investigating Collaboration and Authority in Multidisciplinary Writing Center-Sponsored Writing Groups,"Wilder, Sara",Doctor of Philosophy,2017,,Beverly J. Moss ; Jonathan Buehl ; Kay Halasek ; Christa Teston ,Composition; Literacy
30,"Cartoon Conceptualism: Periodical Comics and Modernism in the United States
","Owen, Benedict",Doctor of Philosophy,2017,Jared Gardner,Jared Gardner ; Elizabeth Hewitt ; Thomas Davis ; Ryan Friedman ,Aesthetics; American History; American Literature; American Studies; Art History; Fine Arts; Literature; Mass Media
31,"Black Men in No Man's Land: Race, Masculinity, and Citizenship in World War I Literature","Wilder, Blake",Doctor of Philosophy,2017,Ryan Friedman,Ryan Friedman ; Jared Gardner ; Andrea Williams ,American Literature
32,Modes of the Flesh: A Poetics of Literary Embodiment in the Long Eighteenth Century,"Owen, Kate",Doctor of Philosophy,2017,Sandra Macpherson,Sandra Macpherson ; David Brewer ; Robyn Warhol ,British and Irish Literature; Literature
33,Novel Ecologies: The New Science of Life in Modern Fiction,"Dunlap, Sarah",Doctor of Philosophy,2017,Thomas Davis,Thomas Davis ; Robyn Warhol ; Howard Ulman ,Modern Literature
34,Books with Bodies: Experientiality in post-1980s Multimodal Print Literature,"Ghosal, Torsa",Doctor of Philosophy,2017,Brian McHale,Brian McHale ; Frederick Luis Aldama ; Jared Gardner ; Jesse Schotter ; Danuta Fjellestad ,Aesthetics; American Literature; British and Irish Literature; Canadian Literature; Comparative; Literature; Mass Media; Modern Language; Philosophy of Science
35,Feeling Real: Emotion in the Novels of William Dean Howells and Henry James,"Langendorfer, Anne",Doctor of Philosophy,2017,James Phelan,James Phelan ; Steven Fink ; Robyn Warhol ,American History; American Literature; Gender Studies; Literature; Rhetoric
36,"Literacy Volunteer Preparation and Organizational Goals in a Service Learning and a Family Literacy Training Program: Historicizing Literacy Campaigns, Volunteers, and Schools
","McCook, Nora ",Doctor of Philosophy,2017,Beverly Moss,Beverly Moss ; Molly Farrell ; Harvey Graff ; Kay Halasek ,History; Literacy; Teaching
37,Refashioning Allegorical Imagery: From Langland to Spenser,"Slefinger, John",Doctor of Philosophy,2017,,Ethan Knapp ; Hannibal Hamlin ; Sarah-Grace Heller ,Literature; Medieval Literature; Middle Ages
38,"Surrogate Scriptures: American Christian Bestsellers and the Bible, 1850-1900","Acker, John",Doctor of Philosophy,2017,Jared Gardner,Jared Gardner ; Elizabeth Hewitt ; Hannibal Hamlin ,American Literature; Religion
